"genus","species","continent","subgenera","year_described","range","is_in_germany","rare","observer"
"Bombus","monticola","Europe","Pyrobombus",1842,"As Bombus monticola is widespread in most of the mountain ridges of Europe (fig.BMON) and as its attractive coat colours make it quite conspicuous, it is often mentioned in the literature, mostly under the name ""lapponicus"". The recent separation between B. monticola and B. lapponicus s.s. makes the interpretation of these older data rather difficult (Svensson, 1979a; Pekkarinen et al., 1982). Up to now, B. monticola has not been observed out of Europe. In the north of the continent, it lives in the mountains of Scandinavia and down to the sea level in the north of Norway and the Kola peninsula. In Finland, it is only found in a few places along the Norwegian border (contrary to B. lapponicus s.s., which extends south to the Gulf of Bothnia) (Pekkarinen et al., 1981). The populations from Fennoscandia belong to the ssp. scandinavicus Friese.
The rather dark populations from the British Is. belong to the nominal subspecies.
The populations from the Alps and the Balkan belong to the ssp. alpestris Vogt.
The ssp. rondoui Vogt lives in the Cordillera Cantabrica and in the Pyrenees, the ssp. konradini Reinig, in the Appennino Mts. Both subspecies are specially light and colourful.","no","no","Ricardo Andres Urrego Alvarez"
"Bombus","pratorum","Europe","Pyrobombus",1761,"Bombus pratorum is one of the most widespread bumblebees of the West-Palaearctic region. It is one of the most common species after B. pascuorum, B. terrestris and B. lapidarius. Its range extends from the shores of the Arctic Ocean to very close to those of the Mediterranean. Although B. pratorum is very common and almost ubiquitous in central Europe and at higher latitudes, in the south, it is clearly a mountain species. It is uncommon and very localised in the south of the Iberian peninsula, Italy and the Balkan. In Anatolia and Iran, it is found only in the northern mountains. It is absent from the steppes of Ukraine and S. Russia but present in Crimea. East of the Ural, it is found by places in W. Siberia and in the Altai, but does not extend east of the Ienissei.
One could recognize the ssp. skorikowi from NE Turkey and Caucasus, and the spp. santonae from the Iberian peninsula. All other subspecies seem unconsistent.","yes","no","Ricardo Andres Urrego Alvarez"
"Bombus","pyrenaeus","Europe","Pyrobombus",1879,"Bombus pyrenaeus is restricted to the high mountains of central and southern Europe, between the 40th and the 50th parallels. It shows conspicuously different subspecies among Pyrenees (ssp. pyrenaeus), Alps (ssp. tenuifasciatus), Tatras (ssp. afasciatus), Carpathian, Balkan (ssp. balcanicus).","no","no","Ricardo Andres Urrego Alvarez"
"Bombus","niveatus","Europe","Sibiricobombus",1870,"The range of Bombus niveatus vorticosus is centred around the Aegean Sea. This subspecies is specially common in the Balkan (Montenegro, Kosovo, Macedonia, Bulgaria, Greece) and in W. Anatolia. It has also been found in Crete, on Cyprus, and in the mountains of Lebanon and W. Syria. It is much less common in Anatolia, Caucasus and N-Iran where it is mostly replaced by the nominal ssp. niveatus.
Most authors separate B. vorticosus from B. niveatus as good species. Nevertheless, Rasmont et al. (2005) shown that they are conspecific. While the yellowish ssp. vorticosus s.s. occurs on both sides of the Aegean, the ssp. niveatus only occurs in near Asia.","no","no","Ricardo Andres Urrego Alvarez"
"Bombus","sulfureus","Europe","Sibiricobombus",1905,"The distribution of B. sulfureus is restricted to the higher mountains of central Anatolia and N. Iran. The species is rare and difficult to catch due to its shyness and its very fast fly.","no","yes","Ricardo Andres Urrego Alvarez"
"Bombus","distinguendus","Europe","Subterraneobombus",1869,"In the West Palaearctic region, the range of B. distinguendus spans from the 45th parallel to hardly beyond the Arctic Circle. The most southern observations are from the French Jura Mts., N. Lombardia (Italy) and a few places in the south of the Carpathian Mts. (Romania). The location in Croatia, cited by Handlirsch (1888), is dubious.
The species is generally uncommon. As it is also regressing, most places of the map relate to old observations.
More east, it can be found throughout Siberia, to the Ussuri R., the Kamchatka, Sakhalin Is., Mongolia, Inner Mongolia, the Altai and the Sayan Mts. According to N. Bogatyrev, it is common in W. Siberia, around Novosibirsk.","yes","no","Ricardo Andres Urrego Alvarez"
"Bombus","fragrans","Europe","Subterraneobombus",1771,"As B. fragrans is the tallest bumblebee of the West-Palaarctic and it is easy to recognise. It extends from Lower Austria in the west to Inner Mongolia in the east and from the regions of Kazan (Russia) and Moscow to the Great Taurus in Anatolia. In Europe, its distribution is discontinuous, with a western isolate in Lower Austria and Hungary and an oriental zone in the Ukraine. The species is uncommon.","no","no","Ricardo Andres Urrego Alvarez"
"Bombus","melanurus","Europe","Subterraneobombus",1836,"The distribution of B. melanurus in the West-Palaearctic region is restricted to E. Anatolia, Armenia and N. Iran. Handlirsch (1888) mentions a place ""Waga"" in the Caucasus, but this toponym has never been localised and the presence of the species in this region was never confirmed. More east, B. melanurus is present in the Alai, the Pamir, Cashmere, the Altai Mts., Inner and Outer Mongolia and central China.","no","no","Ricardo Andres Urrego Alvarez"
"Bombus","subterraneus","Europe","Subterraneobombus",1758,"The distribution of B. subterraneus is very wide. However, as its population densities are generally low, it may be locally overlooked. In the west, it has been found in the north of the Iberian peninsula, in the Pyrenees and the Cordillera Cantabrica. In the British Is., it is restricted to England and a few places in Wales.
In Fennoscandia, it is found in many places up to the 60th parallel. It is found in every country of western and central Europe, but in the Mediterranean regions, it is restricted to the montane stages. It is found throughout Italy, but always in the mountains and not in Sicily. In the Balkan, it extends south to the Olympus and Pilion Mts. In eastern Europe, the species has been signalled in Estonia, Lithuania, Belarus, Ukraine, Romania and, in Russia, up to the 60th parallel. Panfilov (1957) mentions it in the Krim, the Caucasus, the south of the Ural Mts., S. and E. Kazakhstan, the Tien Shan Mts., the Altai, the Baykal'sk and N. Mongolia. In Asia Minor, it has been encountered on the Anatolian plateau, in Transcaucasia and N. Iran.
The darker forms (ssp. subterraneus) are restricted to S. Scandinavia and to Switzerland, N. Italy and S.-E. France. The light-coloured forms (ssp. latreillellus) are found elsewhere.
B. subterraneus latreillellus has been introduced in New Zealand, where it is restricted to the South Island and remains much less common than the other imported species.","yes","no","Ricardo Andres Urrego Alvarez"
"Bombus","armeniacus","Europe","Thoracobombus",1877,"The range of B. armeniacus is restricted to true steppes. It extends discontinuously from the surroundings of Vienna (Austria) to the West to Ulan-Bator (Mongolia) to the East and from the Mazandaran (N. Iran) to the surroundings of Kazan, in the Volga basin (Russia).
A very isolated population is found in Burgenland and Nieder-Österreich (Austria) and S. Moravia (Czechia). Another, larger population thrives in Bulgaria. One specimen is mentioned from Rijeka (Croatia) by Pittioni (1938a), but this may be a mistake. Two specimens were collected in S. Macedonia. Curiously enough, the species is not mentioned from Hungary nor from Romania.
It is found in Ukraine, in the Krim and in the lower valleys of the Dniepr and Don Rs. In European Russia, it is particularly present in the Volga valley, between Kazan and Volgograd. More east, it is found in Bashkiria and in the surroundings of Novosibirsk. In N. Anatolia, the Caucasus, Transcaucasia and N. Iran, it is quite common.
More east, it is widely spread in the Alai, the Altai and in the upper Ienissei valley. Isolated specimens have also been found near Irkutsk and Ulan-Bator. A subspecific differenciation has been suggested but is barely visible.","no","no","Ricardo Andres Urrego Alvarez"
"Bombus","brodmanni ","Europe","Thoracobombus",1909,"This is a very rare species with a questionable status. The nominal subspecies lives in N.-E. Turkey, from Erzincan to the Ararat Mt. and in the west of the Caucasus, in the regions of Teberda and of Mt. Elbrus. The ssp. denesi, from W.Anatolia, is presently known only through its holotype.","no","yes","Ricardo Andres Urrego Alvarez"
"Bombus","deuteronymus","Europe","Thoracobombus",1906,"The distribution of B. deuteronymus is very discontinuous.
The ssp.bureschi is found in Croatia, Bosnia, Serbia, Bulgaria and Romania. This subspecies is very uncommon and no more than a score of specimens have been observed.
The West-Palaearctic region distribution of ssp. superequester is restricted to Russia, between the 53rd and 59th parallels. Because of the high probability of mistakes, many observations of ""subbaicalensis"" from Russia cannot be reliably related with a precise species. They may belong as well to B. humilis subbaicalensis, to B. deuteronymus superequester, to B. veteranus or to B. pseudobaicalensis. For this reason, only the observations of Skorikov (1922a), and Kazanskii (1925) as well as our own ones have been included in map.
The nominal subspecies lives in eastern Siberia, Mongolia, the Ussuri basin and Japan.","no","no","Ricardo Andres Urrego Alvarez"
"Bombus","humilis ","Europe","Thoracobombus",1806,"West, it is found in England and Wales (ssp. anglicus) but neither in Ireland nor Scotland and in the Iberian peninsula, north of the 39th parallel (sspp. paraurantiacus and quasimuscorum) but not in Portugal.
In Fennoscandia B. humilis halsahlianus is present up to the 62nd parallel, with some more northern locations in Sweden, along the Gulf of Bothnia. In Russia, the northern limit of B. humilis subbaicalensis lies about the 60th parallel. In Italy, it extends southwards to Calabria (39th parallel) (ssp. propeaurantiacus) and in Greece, to central Peloponnisos (about 38th parallel) (forms aurantiacus and tristis). The ssp. insipidus extends in Turkey to the Hakkari region and down to the 36th parallel in the Iranian Mazandaran. It is common in the Caucasus. B. humilis is absent from all the major Mediterranean islands and from N. Africa. It is very uncommon to absent on the Mediterranean littoral. In some regions, the coat of B. humilis is quite constant, e.g. in central and western France (ssp. quasimuscorum), in the United Kingdom (ssp. anglicus) and in the Caucasus region (ssp. insipidus). In other places, the variability is much higher, with three to four coexisting forms. This is the case in Belgium and the Netherlands, in most of central and east Europe, in the Balkan and in W. Anatolia.","yes","no","Ricardo Andres Urrego Alvarez"
"Bombus","inexspectatus","Europe","Thoracobombus",1963,"The distribution of Bombus inexspectatus is confined and discrete. The species lives in the Cordillera Cantabrica and on the southern side of the southern Alps. It is also likely present in the Pyrenees, although no valid observation has yet been reported from these mountains (the specimens reported by Ornosa Gallego, 1984, have all been invalidated and revised as ruderarius by L. Castro). This distribution is clearly relict.
B. inexspectatus is very uncommon : Yarrow (1970) reports 36 specimens only among a sample of 10000 bumblebees collected in its Cantabrian locations. Quite clearly, in the absence of such thorough samplings, the species will remain undetected.","no","no","Ricardo Andres Urrego Alvarez"
"Bombus","laesus","Europe","Thoracobombus",1875,"Bombus laesus s.s. is present in S.-E. Poland, Hungary, a few isolated specimens in Serbia and Macedonia, in Ukraine, the Volga basin, Kazakstan, the Caucasus region, Anatolia and N.-W. Iran. Within this wide range, the species is common only in some rather restricted zones, as Hungary and the region extending from Turkey to Iran. The steppic distribution of Bombus laesus laesus reminds of that of an other steppe species: Bombus fragrans.","no","no","Ricardo Andres Urrego Alvarez"
"Bombus","mesomelas","Europe","Thoracobombus",1869,"Within the West-Palaearctic region, Bombus mesomelas is a species from the southern mountains. Bombus mesomelas mesomelas is found in the Cordillera Cantabrica (Spain), the Pyrenees, the Alps, the Appennino Mts., the Tatras Mts., the Krkonoše Mts. (Czechia) and the Carpathians.
The range of Bombus mesomelas alboluteus is discontinuous, with a western population in the mountains of S. Bosnia, Yugoslavia and the Balkan and an eastern population in E. Anatolia, the Caucasus, Transcaucasia and N. Iran.
In the north of its range, mesomelas has been found in the hills and lower mountains of Thüringen (Austria), S. Poland and Bohemia (Czec Republic). All these findings are ancient. In the Cordillera Cantabrica, the Pyrenees, the western and central Alps, the species is quite common. On the contrary, in the eastern Alps and in the mountains of central-east and eastern Europe, as well as in Iran, mesomelas is uncommon and its distribution is patchy.","yes","no","Ricardo Andres Urrego Alvarez"
"Bombus","mlokosievitzi","Europe","Thoracobombus",1877,"The nominal ssp. of Bombus mlokosievitzi lives mainly in the mountains of NE. Anatolia, but some specimens have been encountered in the north-west of this region. The ssp. vogtiellus is found in the Balkan Mountains, in Macedonia, Greece and Bulgaria and in the mountains of N. Anatolia, from the Bursa region in the west to the surroundings of Erzincan in the east. The ssp. convergens lives in the Caucasus.
In Anatolia and seemingly in the Caucasus, Bombus mlokosievitzi is common. It is always uncommon in the Balkan.","no","no","Ricardo Andres Urrego Alvarez"
"Bombus","moscaryi","Europe","Thoracobombus",1877,"Bombus mocsaryi is very widely distributed: N. Africa (Morocco, Algeria and Tunisia), Spain, S. France, E. Austria, Hungary, Poland, Baltic states, Belarus, N. Ukraine and Russia (mainly between the 50th and 60th parallels). Scattered specimens have been collected in Croatia, Serbia, Macedonia, Greece and Romania. Curiously, the species is known neither from Italy nor from Bulgaria. There is a gap between the western populations (Spain, France and N. Africa) and the populations from E. Europe.
More east, B. mocsaryi is found here and there, from W. Siberia to the Pacific coast.
Bombus mocsaryi does not occur in true steppe (contrary to laesus s.s.) but in wooded steppe or in dry open grassland.","no","no","Ricardo Andres Urrego Alvarez"
"Bombus","mucidus","Europe","Thoracobombus",1920,"Bombus mucidus is restricted to the south European Mountains : Sierra Cantabrica, Pyrenees and western Alps for the ssp. mollis, rest of the Alps, central Appennino Mts, Balkan mountains (Bosnia, Crna Gora and Macedonia), central Carpathians for the ssp. cf. mucidus. The ssp. pittioniellus, of yet unsettled status, is restricted to the mountains of Crna Gora and Macedonia.
The local density of B. mucidus is highly variable. In some mountains e. g. in the eastern Pyrenees, it may be quite common whereas it is very rare in a large part of the Austrian Alps.","no","no","Ricardo Andres Urrego Alvarez"
"Bombus","muscorum","Europe","Thoracobombus",1761,"The distribution of Bombus m. muscorum is remarkably wide. The species is found from Ireland to Mongolia and from the latitude of Stockholm to Crete. The northernmost location of the subspecies is in the surroundings of Vyborg, in Russian Karelia and in Orkney Islands. More north, we find B. muscorum bannitus.
B. muscorum is generally uncommon to very uncommon in all its continental locations. On the contrary, it may be quite common in its maritime locations, specially along the Atlantic coasts. It is very uncommon in the southern half of the Iberian peninsula and the south of Italy and utterly uncommon in Turkey, the Caucasus and Transcaucasia. It has never been encountered in S. Greece nor in N. Africa, nor in Iran. B. muscorum muscorum includes several local variations in pilosity lenght that are often taken as subsp. (sladeni from England, agricolae from Orkney islands, laevis from Turkey).
Bombus muscorum bannitus is a strictly coastal subspecies throughout its western distribution. Its highest observation is at 330 m, in the Scottish Highlands (Richards, 1935). It includes a serial of more or less conspicuous local variations often taken as subspecies (allenellus from Aran island, scyllonius from Scilly, liepetterseni from W-Norway, bannitus s.s. from N-Russia).
The specimens reported from E. Anatolia, the Caucasus and Transcaucasia are always isolated workers and it is not unlikely that they are, indeed, faded B. laesus workers.","yes","no","Ricardo Andres Urrego Alvarez"
"Bombus","pascuorum","Europe","Thoracobombus",1763,"Bombus pascuorum is, by far, the most abundant bumblebee species in the West-Palaearctic. Its distribution is very wide.
Northwards, it avoids the true tundra and it is absent from the Arctic islands, as well as from Iceland, the Orkneys, the Shetlands, the Hebrides and the Faeroes.
Southwards, it avoids steppic as well as warm Mediterranean surroundings : it is absent from the south of the Iberian peninsula, of Italy and of the Balkan. It is found in Corsica and Sicily, though not in Sardinia and it is absent from the other large Mediterranean islands. It is also absent from N. Africa, Syria, Lebanon and Israel.
Eastwards, it avoids the steppic regions of S. Ukraine, S. Russia, Anatolia and Iran but extends in Siberia to the Baikal region and S.-W. Yakutia.
Bombus pascuorum includes as much as 23 subspecies ( pascuorum; melleofacies; intermedius; dusmeti; bofilli; maculatus; freygessneri; rufocitrinus; rufostriatus; septentrionalis; siciliensis; vulgo; floralis; gotlandicus; pallidofacies; paphlagonicus; rehbinderi; mniorum; smithianus; moorselensis; olympicus; sparreanus; taleshensis.). They are often brightly coloured and conspicuously different.
In most of its area, the species is quite common. In the Mediterranean region, it is confined to the forests, the irrigated fields and some urban surroundings.","yes","no","Ricardo Andres Urrego Alvarez"
"Bombus","pereziellus","Europe","Thoracobombus",1922,"Bombus pereziellus is strictly endemic to Corsica. Its phylogenetical relationships with muscorum are unclear.","no","yes","Ricardo Andres Urrego Alvarez"
"Bombus","persicus","Europe","Thoracobombus",1881,"Bombus persicus lives in the Near-East mountains : Caucasus, Georgia, Azerbaydzhan, Anatolia, Armenia, N. Iran. Most of this range belongs to the ssp. eversmanniellus the ssp. persicus being restricted to N. Iran.","no","no","Ricardo Andres Urrego Alvarez"
"Bombus","pomorum ","Europe","Thoracobombus",1805,"B. pomorum pomorum lives in the plains and hills of West and Central Europe and W. Anatolia. The subspecies B. pomorum uralensis is found in the plains and the southern hills of the Ural region ; the subspecies B. pomorum canus in the subalpine and alpine steppes of E. Anatolia, Armenia and the Caucasus region.
The distribution of B. pomorum pomorum is restricted in latitude. Its southern limits are: in Massif Central (France), in N. Greece, and in N. Anatolia. The most northern findings are from the Danish Jylland, with one ancient location in S. Sweden, southern Latvia and, in Russia, the Novgorod and Molotov (Ural) regions.
In longitude, the subspecies ranges from Normandy (France) to the Perm region (Russia). Only one specimen is known from the British Is. and it has never been caught in the Pyrenees. All the southern locations are in the mountains ; many northern ones are ancient.","yes","no","Ricardo Andres Urrego Alvarez"
"Bombus","ruderarius","Europe","Thoracobombus",1776,"The range of Bombus ruderarius extends over a large part of the West-Palaearctic region.
In the Iberian peninsula, it is found in the northern mountain ridges, where the form montanus coexists with the nominal subspecies. The nominal subspecies is present in Ireland, Great-Britain and in Fennoscandia, around the Gulf of Bothnia, where it reaches the Arctic Circle. In Russia, the nominal subspecies and the form montanus are found, grossly, between the 50th and 60th parallels. The eastern limits of the species are in SW. Siberia and in the mountains of E. Turkestan (ssp. sartus). Southwards, the range of B. ruderarius extends to the south of the Italian peninsula and in the Balkan, to the Parnassos Mt. (Greece) without including, however, the Mediterranean littoral and the large Mediterranean islands. The subspecies B. ruderarius tunensis is endemic to E. Algeria and N. Tunisia. The nominal subspecies is found in W. Anatolia, whereas B. ruderarius simulatilis lives in the mountains of Anatolia, the Caucasus region and N. Iran. There appears to be a wide discontinuity between the populations of this region and those of the S. Russia plains.
As it is for B. sylvarum, the distribution of B. ruderarius is patchy; ranging from very rare (as in N. Africa), to very common : in some places of the E. Pyrenees, the species may account for more than the half of all the observed bumblebees .","yes","no","Ricardo Andres Urrego Alvarez"
"Bombus","schrencki ","Europe","Thoracobombus",1882,"B. schrencki is found from Wigry (NE. Poland) (Krzysztofiak, 1992) through the whole Russian and Siberian taiga, to the Pacific coast, Kamchatka, Japan, Sakhalin and Kuril Is. It could be a common species locally as Mänd et al. (1999) found B. schrencki profusely in several locations in Estonia, in natural surroundings as in cultivated areas.","no","no","Ricardo Andres Urrego Alvarez"
"Bombus","sylvarum","Europe","Thoracobombus",1761,"Bombus sylvarum is widely distributed in the West-Palaearctic region. It may be quite common and in some places, it is the predominant bumblebee species. West, its range extends in the Iberian peninsula to the parallel of Madrid. It is present in England, Wales and SE. Ireland but completely absent from Scotland. North, it extends in Fennoscandia to the 63rd parallel and in Russia to the 60th parallel. East, it hardly extends beyond the southern part of the Ural Mts., to Cheliabinsk. South-east, B. sylvarum is present throughout E. Anatolia, where it is present as its steppic daghestanicus form, in the Caucasus, Georgia, Armenia and NW. Iran. In the latter country, it does not reach the Mazandaran region. In the southern part of its range, B. sylvarum is clearly a montane species. It reaches the Etna in Sicily and the Taurus and Amanaus in Anatolia. In the Balkan, its limits are more northern : the mountains in N. Albania, Macedonia, Bulgaria and Pindos Mts., in N. Greece. It is absent from the large Mediterranean islands (except Sicily) and from N. Africa.
Bombus sylvarum can be very abundant in some locations.","yes","no","Ricardo Andres Urrego Alvarez"
"Bombus","velox","Europe","Thoracobombus",1914,"Bombus velox is an uncommon species, even in its very restricted area. It has been ignored for long and has been the topic of few papers.
The known range of B. velox is restricted to NE. Anatolia and the Caucasus. It is nevertheless not excluded that the species be discovered in the surrounding regions of Georgia, Armenia, Azerbaydzhan and Iran.","no","no","Ricardo Andres Urrego Alvarez"
