"species","year_described","range","is_in_germany","rare","observer"
"Eristalis jugorum",1858,"Poland south to the Pyrenees and northern Spain; from Belgium (Ardennes) eastwards through central and southern Europe (northern Italy, the former Yugoslavia, Greece) into European parts of Russia and on as far as the Caucasus, Turkey and Iran.","yes","no","Bilyana Stoykova"
"Eristalis lineata",1776,"Fennoscandia south to N Africa; from Ireland eastwards through much of Europe into Russia and on through Siberia to the Pacific coast (Sakhalin); India.","yes","no","Bilyana Stoykova"
"Eristalis nemorum",1758,"northern Fennoscandia south to Iberia; from Ireland eastwards through central Europe into Turkey and Russia and on into Asia over most of Siberia; Italy; the former Yugoslavia; Japan; in N America from Quebec south to Colorado.","yes","no","Bilyana Stoykova"
"Eristalis oestracea",1758,"from Fennoscandia south to Denmark and northern Germany and eastwards through Poland into European parts of Russia; through Siberia into central Asia; also in mountainous parts of Roumania, the former Yugoslavia and Kazakhstan; in parts of Ontario in N America.","yes","no","Bilyana Stoykova"
"Eristalis pertinax",1763,"Fennoscandia south to Iberia and the Mediterranean; from Ireland through much of Europe into European parts of Russia and Turkey; apparently not known beyond the Urals.","yes","no","Bilyana Stoykova"
"Eristalis picea",1817,"Fennoscandia south to central France; from Belgium eastwards into central Europe as far as Switzerland and probably Austria.","yes","no","Bilyana Stoykova"
"Eristalis pseudorupium",,,,,"Bilyana Stoykova"
"Eristalis rupium",1805,"Fennoscandia south to the Pyrenees and northern Spain; from Britain (northern England, Wales, Scotland) eastwards through central Europe into Turkey and Russia and on throughout Siberia; N America from British Columbia south to Colorado and east to New York.","yes","no","Bilyana Stoykova"
"Eristalis similis",1817,"Finland south to the Mediterranean basin (including islands such as Crete); N Africa; from Britain (central England) eastwards through central and southern Europe to the former Yugoslavia and on through Turkey and European Russia into Asia. Malec (1986) presents data suggesting that E.similis has become more frequent within the last few years, in northwest Germany. Nielsen (2009) and Nielsen et al (2012) present evidence of migrations of E.similis to Norway.","yes","no","Bilyana Stoykova"
"Eristalis tenax",1758,"highly migratory; cosmopolitan; the most widely distributed syrphid species in the world, known from all regions except the Antarctic; found throughout Europe except in the far north. It occasionally reaches offshore islands of northern Europe, such as the Faroes (Jensen, 2001). Francuski et al (2013) indicate that the migratory nature of this species has maintained a high degree of genetic homogeneity of populations from different parts of Europe, but also suggest the Balkan populations of this insect are somwehat different genetically, from other European populations.","yes","no","Bilyana Stoykova"
"Eumerus amoenus",1848,"from central France south to Portugal and Spain and round the Mediterranean (including Cyprus, Rhodes and Crete) to Greece and on to Morocco; Canary Isles, Azores; southern Germany and Switzerland in central Europe; the Caucasus; Kazakhstan, Turkestan, Tadjikistan and Mongolia in Asia.","yes","no","Bilyana Stoykova"
"Eumerus barbarus",1804,"Portugal and Spain, the Mediterranean coast of France and Italy and Mediterranean islands including Majorca, Corsica, Sardinia, Sicily and Malta; N Africa from Morocco to Egypt; Lebanon.","no","unclear","Bilyana Stoykova"
"Eumerus flavitarsis",1843,"from southern Norway, southern Sweden and southern Finland southwards to the Pyrenees and much of Spain; from Netherlands and Belgium eastwards through central and southern Europe (Corsica, Italy, the former Yugoslavia, Roumania) into European parts of Russia and on into Asia to the Pacific coast.","yes","no","Bilyana Stoykova"
"Eumerus funeralis",1822,"probably originated in the Mediterranean basin, but the species is becoming cosmopolitan, being known from much of the Palaearctic region and N America, except cold-climate zones, and in S America; also introduced to Australia and New Zealand.","yes","no","Bilyana Stoykova"
"Eumerus hispidus",2004,"the Madeiran archipelago (including Porto Santo) (Portugal).","no","yes","Bilyana Stoykova"
"Eumerus niveitibia",1921,"various parts of Greece; the Caucasus mountains.","no","yes","Bilyana Stoykova"
"Eumerus obliquus",1805,"the Balearics, the Canaries, Corsica, southern France, Italy, Sicily, Malta; N Africa and the Afrotropical region, including the Mascarene islands; Sokotra; Madagascar; Mauritius; Australia.","no","unclear","Bilyana Stoykova"
"Eumerus ornatus",1822,"southern Sweden south to the Pyrenees and northern Spain; from Britain (southern England) eastwards through central and southern Europe, including Italy (and Sicily), the former Yugoslavia, Roumania and Turkey, into European parts Russia; N Africa.","yes","no","Bilyana Stoykova"
"Eumerus ovatus",1848,"from Lithuania and Poland, southern Germany and the Czech Republic through central Europe (Switzerland, Austria) to Roumania, the Ukraine and the Caucasus mountains; in southern Europe from Spain through southern France and Italy to the former Yugoslavia.","yes","no","Bilyana Stoykova"
"Eumerus sabulonum",1817,"from southern Fennoscandia south to N Africa; from Britain (England) eastwards through central and southern Europe into European parts of Russia.","yes","no","Bilyana Stoykova"
"Eumerus sogdianus",1952,"Denmark south to southern Spain; from Britain (S England) and Belgium eastwards through central and southern Europe into European parts of Russia and on into central Asia (Kazakhstan, Tajikistan, Uzbekistan, Mongolia); China. The presence of this species in Western Europe has only been recognised recently.","yes","no","Bilyana Stoykova"
"Eumerus strigatus",1817,"Fennoscandia south to Iberia and the Mediterranean; much of Europe through into Turkey and Russia; from the Urals to the Pacific coast (Sakhalin); Japan; introduced to N America and recorded from both Canada and the USA; introduced to both Australia and New Zealand.","yes","no","Bilyana Stoykova"
"Eumerus tricolor",1798,"from Netherlands south to the Mediterranean; from Belgium eastwards through central Europe to European parts of Russia; through Siberia to the Pacific coast, including the Sakhalin peninsula. Decreasing over much of Europe and seemingly not associated with any crop vegetables.","yes","no","Bilyana Stoykova"
"Eupeodes bucculatus",1857,"from Norway, Sweden and Denmark south to Portugal; from Ireland eastwards through central Europe to Switzerland.","yes","no","Bilyana Stoykova"
"Eupeodes corollae",1794,"from Iceland, Fennoscandia and the Faroes (Jensen, 2001) south to Iberia, the Mediterranean, Madeira, the Canary Isles and N Africa; coastal States of Africa down to and including S Africa; Mauritius; from Ireland eastwards through most of Europe into European parts of Russia; through Siberia from the Urals to the Pacific coast; Japan; China; Formosa. This is a highly migratory species, frequently observed using the coastal land/water interface as a migration route. Records from northern European offshore islands such as the Faroes (Jensen, 2001) are almost certainly derived from annual immigration, rather than a resident population.","yes","no","Bilyana Stoykova"
"Eupeodes goeldlini",1999,"uncertain due to confusion with similar species like E.bucculatus until recently. Known from Finland, Sweden, Ireland, Britain and central Europe from Poland through Germany and Switzerland to the Czech Republic and Slovakia and on into European parts of Russia. Also recorded from the Pyrenees (France).","yes","no","Bilyana Stoykova"
"Eupeodes lapponicus",1838,"Fennoscandia south to Spain and the Mediterranean (including Crete); from Ireland east through most of Eurasia (including Turkey) to the Pacific coast; Iceland; Greenland; N America from Alaska to California.","yes","no","Bilyana Stoykova"
"Eupeodes latifasciatus",1829,"from Iceland and Fennoscandia south to Iberia, the Mediterranean (including Cyprus), N Africa and Turkey; from Ireland eastwards through most of Europe into European parts of Russia; through Siberia from the Urals to the Pacific coast (Sakhalin and Kuril Isles); India; in N America from Alaska south to California and Texas.","yes","no","Bilyana Stoykova"
"Eupeodes lundbecki",1946,"Iceland, Finland and Denmark south to the Netherlands, from Britain (vagrant?) eastwards through Germany, Poland, Ukraine and Russia into Siberia and on to the Pacific; Mongolia. Large-scale movements of this species apparently occur out of Scandinavia in August/September.","yes","no","Bilyana Stoykova"
"Eupeodes luniger",1822,"from Fennoscandia south to Iberia, the Mediterranean, Madeira and N Africa; from Ireland eastwards through most of Europe into European parts of Russia and Asia Minor (including Turkey); in Siberia from the Urals to the Pacific coast (Kuril Isles); Japan; N India. This species is highly migratory and immigrants from further south augment populations in many parts of Europe during the summer.","yes","no","Bilyana Stoykova"
"Eupeodes nielseni",1976,"Fennoscandia south to the Pyrenees and Alps; from Britain eastwards through northern and central Europe (and northern Italy) into European parts of Russia.","yes","no","Bilyana Stoykova"
"Eupeodes nitens",1843,"Fennoscandia south to the Pyrenees; Britain (southern England) eastwards through central and southern Europe (Italy, the former Yugoslavia) into Siberia and on to the Pacific coast.","yes","no","Bilyana Stoykova"
"Ferdinandea aurea",1844,"Portugal; central and southern Spain (and Mallorca); southern France, Italy (plus Sardinia) and Greece (plus Crete - Claussen & Lucas, 1988).","no","unclear","Bilyana Stoykova"
"Ferdinandea cuprea",1763,"Fennoscandia south to southern Spain and north Africa (Algeria) and round the Mediterranean through southern Europe to Turkey; from Ireland eastwards through central/northern parts of Eurasia to the Pacific coast of Siberia and Japan.","yes","no","Bilyana Stoykova"
"Ferdinandea fumipennis",1999,"Portugal (Van Eck, 2011), Spain, Balearic islands (Ricarte and Marcos-Garcia, 2007), southern France (Speight and Ricarte, 2012) and N Africa - Morocco and Tunisia (Kassebeer, 1999).","no","unclear","Bilyana Stoykova"
"Ferdinandea ruficornis",1775,"from Sweden south to Portugal and from Britain (England) eastwards through central (Germany, Poland) and southern Europe (Italy, former Yugoslavia, Roumania) into European Russia and the Caucasus and on through Siberia and Uzbekistan to the Pacific; northern China. In western Europe, at least, the close association apparently existing between this species and the goat moth (Cossus cossus) ensures the hoverfly`s scarcity, since forestry practice acts to eliminate Cossus and the over-mature trees it inhabits. Cossus is currently exhibiting a marked decline in much of western Europe and F.ruficornis has to be regarded as threatened over much of its European range.","yes","no","Bilyana Stoykova"
"Helophilus affinis",1844,"Scandinavia south to the Netherlands, including Denmark, northern Germany and Switzerland; through northern Europe into Siberia and on into Asia; Poland. Appears to be extending its range southwards. Torp (1984) suggests large migrations are occurring from southern Sweden into Denmark now, though previously only isolated specimens were seen in Denmark. Since 1980 it has been recorded first from N.W.Germany, then from the Netherlands. It has subsequently been recorded from southwest Germany, Switzerland and one of the small islands off the north coast of Scotland.","yes","no","Bilyana Stoykova"
"Helophilus eristaloidea",,,,,"Bilyana Stoykova"
"Helophilus fasciatus",,,,,"Bilyana Stoykova"
"Helophilus hybridus",1846,"from Fennoscandia south to northern France; from Ireland eastwards through much of northern and central Europe (though very localised in the Alps) into Russia and on through Siberia to the Pacific coast; Serbia, Mongolia; in N America from Alaska to Nova Scotia and south to Utah.","yes","no","Bilyana Stoykova"
"Helophilus pendulus",1758,"from Iceland, Fennoscandia and the Faroes (Jensen, 2001) south to Iberia; from Ireland eastwards through central and southern Eurasia to the Pacific coast; more localised in southern Europe.","yes","no","Bilyana Stoykova"
"Helophilus trivittatus",1805,"from Fennoscandia south to the Mediterranean and from Ireland eastwards through Eurasia to the Pacific, including Iran and Afghanistan. This species is regarded as highly migratory and can frequently be found in habitats which cannot support its larvae. Evidence of truly long- distance movements by the species is less easy to come by. Nielsen et al (2010) document one such instance.","yes","no","Bilyana Stoykova"
"Heringia brevidens",,,,,"Bilyana Stoykova"
"Heringia heringi",1843,"from southern Norway to southern Spain and the Mediterranean (including Crete); from Ireland eastwards through central and southern Eurasia to Greece, Roumania, Turkey and European parts of Russia; Mongolia.","yes","no","Bilyana Stoykova"
"Heringia latitarsis",,,,,"Bilyana Stoykova"
"Heringia pubescens",,,,,"Bilyana Stoykova"
"Heringia verrucula",,,,,"Bilyana Stoykova"
"Heringia vitripennis",,,,,"Bilyana Stoykova"
"Ischiodon aegyptius",,,,,"Bilyana Stoykova"
"Lejogaster metallina",1776,"from northern Fennoscandia and the Faroes (Jensen, 2001) south to Iberia; from Ireland eastwards through Eurasia to the Pacific coast; N Africa.","yes","no","Bilyana Stoykova"
"Lejogaster tarsata",1822,"from Fennoscandia south to the Mediterranean and Mediterranean islands (Corsica, Sicily); from Ireland east through central and southern Europe into European parts of Russia; Iran and Afghanistan and on by way of Uzbekistan, Tajikistan, Kirghizia, Turkmenia and Kazakhstan to Mongolia, south-eastern Siberia and the Pacific coast.","yes","no","Bilyana Stoykova"
"Lejops contracta",,,,,"Bilyana Stoykova"
"Lejops interpuncta",,,,,"Bilyana Stoykova"
"Lejops lineata",,,,,"Bilyana Stoykova"
"Lejops transfuga",,,,,"Bilyana Stoykova"
"Lejops vittatus",,,,,"Bilyana Stoykova"
"Leucozona glaucia",1758,"from Fennoscandia south to the Pyrenees; from Ireland east through mountainous parts of central Europe into Turkey and European parts of Russia; throughout Siberia to the tundra zone and on to the Pacific coast (Kuril Islands, Japan).","yes","no","Bilyana Stoykova"
"Leucozona inopinata",2000,"uncertain, due to confusion with related species until recently. Confirmed from Norway, Sweden, Finland, Denmark, Germany, France (Vosges), Switzerland, Austria, Hungary and Japan.","yes","no","Bilyana Stoykova"
"Leucozona laternaria",1776,"from Fennoscandia south to the Pyrenees; from Ireland east through northern and central Europe into Turkey and European parts of Russia; through Siberia to the Pacific coast (Kuril Isles); Japan.","yes","no","Bilyana Stoykova"
"Leucozona lucorum",1758,"from Fennoscandia south to the Pyrenees and northern Spain; from Ireland eastwards through Eurasia to the Pacific coast (Sakhalin and Kuril Islands); Japan; in N.America, from Alaska south to Oregon and New York.","yes","no","Bilyana Stoykova"
"Mallota cimbiciformis",1817,"Southern Fennoscandia south to the Pyrenees and central Spain and on into N. Africa; Britain east through most of Europe to central Siberia; northern Iran.","yes","no","Bilyana Stoykova"
"Mallota dusmeti",1926,"Portugal, central Spain and N Africa (Tunisia: Claussen & Hauser, 1990). This is one of the few European syrphid species to be included on a National Red List. It appears on the Spanish Red List as ""vulnerable""� (Marcos-Garcia, 2006).","no","yes","Bilyana Stoykova"
"Mallota florea",,,,,"Bilyana Stoykova"
"Mallota fuciformis",1794,"Germany and Poland south through France to Portugal and Spain; from Brittany (north-west France) eastwards through central Europe to European parts of Russia. In southern Europe from Spain to the former Yugoslavia and on to northern Iran. Evidently much scarcer now than previously and probably threatened at European level, though not yet regarded as extinct in any European state.","yes","probably yes","Bilyana Stoykova"
"Mallota megilliformis",1817,"southern parts of Fennoscandia south to Germany (extinct?); from Poland eastwards (including the Czech Republic and Slovakia) into European parts of Russia and the Ukraine and on into Siberia to Khabarovsk. European records of this species are extremely few from the 20th century and it must be regarded as threatened at European level.","unclear","yes","Bilyana Stoykova"
"Mallota tricolor",1871,"Lithuania, Poland, Germany (extinct?), Belarus, European parts of Russia and on into Asia through Siberia to Kamchatka.","unclear","unclear","Bilyana Stoykova"
"Matsumyia berberina",,,,,"Bilyana Stoykova"
"Melangyna barbifrons",1817,"Fennoscandia south to Belgium; from Britain eastwards through central Europe into European parts of Russia and on through Siberia to the Pacific.","yes","no","Bilyana Stoykova"
"Melangyna cincta",,,,,"Bilyana Stoykova"
"Melangyna cinctus",,,,,"Bilyana Stoykova"
"Melangyna cingulata",,,,,"Bilyana Stoykova"
"Melangyna compositarum",1873,"from Fennoscandia south to the Pyrenees and northern Spain; from Ireland eastwards through northern and central Europe (plus northern Italy and the former Yugoslavia) into European parts of Russia; in Siberia from the Urals to the Pacific coast (Kuril Islands); in N America from Alaska south through the Rocky mountains to New Mexico.","yes","no","Bilyana Stoykova"
"Melangyna ericarum",1946,"Britain (Scottish highlands), Denmark, Netherlands, Germany, Czech Republic, France, Switzerland, Italy (Aosta).","yes","no","Bilyana Stoykova"
"Melangyna guttata",,,,,"Bilyana Stoykova"
"Melangyna labiatarum",,,,,"Bilyana Stoykova"
"Melangyna lasiophthalma",1843,"from Iceland and Fennoscandia south to the Pyrenees and mountainous parts of Spain; from Ireland eastwards through northern Europe and mountainous parts of central Europe into European parts of Russia; through much of Siberia. In the Nearctic from Alaska south to Colorado and Maryland.","yes","no","Bilyana Stoykova"
"Melangyna lucifera",1980,"southern Norway, Finland, Denmark, Netherlands, France, Germany, Czech Republic, and Siberia.","yes","no","Bilyana Stoykova"
"Melangyna pavlovskyi",1956,"Belgium, Denmark, Netherlands, Poland and Slovakia; Pacific coast of Asiatic Russia (Sakhalin) and Japan. Van de Meutter et al (2015) point out that this species is rapidly expanding its range in western Europe.","no","no","Bilyana Stoykova"
"Melangyna quadrimaculata",1873,"southern Norway, Sweden, Finland and Denmark south to Belgium; from Ireland eastwards through central Europe into European parts of Russia and on through Siberia to the Pacific coast (Sakhalin).","yes","no","Bilyana Stoykova"
"Melangyna triangulifera",,,,,"Bilyana Stoykova"
"Melangyna umbellatarum",1794,"Fennoscandia south to Iberia; from Ireland eastwards through northern, central and southern Europe (Italy, the former Yugoslavia, Roumania, Bulgaria) into European parts of Russia; through mountainous parts of Siberia to Kamchatka; in N America from Alaska to Arizona.","yes","no","Bilyana Stoykova"
"Melanostoma albimanus",,,,,"Bilyana Stoykova"
"Melanostoma incompletum",,,,,"Bilyana Stoykova"
"Melanostoma mellarium",1822,"uncertain at present due to confusion with other species until recently, but confirmed from Norway, Finland, Luxembourg and France. There are as yet unpublished records from various parts of the Alps, the Pyrenees and the British Isles.","unclear","no","Bilyana Stoykova"
"Melanostoma mellinum",1758,"from Iceland and Fennoscandia south to Iberia, the Mediterranean and N Africa; from Ireland eastwards through most of Europe into European parts of Russia; Siberia from the Urals to the Pacific coast; N America from Alaska to Quebec and south to Washington.","yes","no","Bilyana Stoykova"
"Melanostoma scalare",1794,"from Iceland and Fennoscandia south to Iberia, the Mediterranean and N Africa; from Ireland eastwards through most of Europe into European parts of Russia; in Siberia from the Urals to the Pacific coast (Kuril Isles); in eastern parts of the Afrotropical region south to Zimbabwe; throughout the Oriental region to New Guinea.","yes","no","Bilyana Stoykova"
"Meliscaeva auricollis",1822,"Fennoscandia and the Faroes (Jensen, 2001) south to Iberia, the Mediterranean (including Cyprus, Malta and Crete), Canary Isles, N Africa, Turkey and Israel; Ireland eastwards through most of Europe into European parts of Russia.","yes","no","Bilyana Stoykova"
"Meliscaeva cinctella",1843,"from Fennoscandia south to Iberia, the Mediterranean and N Africa; from Ireland eastwards through most of Europe into Turkey and European parts of Russia; Siberia from the Urals to the Pacific coast (Kuril Isles); N America from Alaska south to California and Colorado.","yes","no","Bilyana Stoykova"
"Merodon aberrans",1860,"through central Europe from Germany, the Czech Republic and the Alps (France, Switzerland, Austria) to Hungary and Roumania and on to the Ukraine and southern Russia; in southern Europe from mountainous parts of Portugal and Spain eastwards to Italy, Albania, the former Yugoslavia and Greece and on to Turkey and round the Mediterranean (Lebanon) into N Africa (Morocco), including Mediterranean islands e.g. Crete.","yes","no","Bilyana Stoykova"
"Merodon albifrons",1822,"from central France south to the Mediterranean and N Africa; from western Spain eastwards through central (Switzerland, Austria) and southern Europe (Corsica, Sardinia, Sicily, Italy, former Yugoslavia, Greece, Bulgaria, Roumania) to the Crimea and Azerbaijan.","no","no","Bilyana Stoykova"
"Merodon antonioi",2007,"Portugal; central Spain.","no","yes","Bilyana Stoykova"
"Merodon aureus",,,,,"Bilyana Stoykova"
"Merodon aurifer",,,,,"Bilyana Stoykova"
"Merodon avidus",1790,"Mediterranean zone of Europe, from Spain through southern France to Italy, the Balkan 
Peninsula and Roumania (and probably further south round the Mediterranean basin)","no","no","Bilyana Stoykova"
"Merodon chalybeus",1822,"Portugal; Spain; France and round the Mediterranean to parts of the former Yugoslavia and Greece; Corsica; N Africa (Morocco).","no","no","Bilyana Stoykova"
"Merodon cinereus",1794,"Massif Central? (France), Alps (confirmed from France, Switzerland), Apennines? (Italy).","no","no","Bilyana Stoykova"
"Merodon clavipes",1781,"from northern France to the Mediterranean (including Corsica, Sardinia, Sicily and Crete) and N.Africa; from Portugal and Spain through central and southern Europe to Greece, Roumania, Ukraine and Turkey.","unclear","no","Bilyana Stoykova"
"Merodon constans",1794,"Poland and Czechoslovakia; central France, Switzerland, Austria, Hungary, Roumania and Bulgaria; Italy, the former Yugoslavia, Greece and the Crimea.","no","no","Bilyana Stoykova"
"Merodon equestris",1794,"Fennoscandia south to Iberia and the Mediterranean, including N Africa; from Ireland eastwards through much of Europe into European parts of Russia; also in Japan; in N America from British Colombia south to California. Man's activities have resulted in introduction of this species to parts of the world outside its natural range, including New Zealand. Within Europe its range has almost certainly been expanded due to human activity - it is doubtful, for instance, that this species reached either Britain or Ireland unaided by man.","unclear","unclear","Bilyana Stoykova"
"Merodon loewi",1964,"Italy, Bulgaria, Montenegro, Serbia, FYR Macedonia, Greece, Moldova, Ukraine, southern parts of European Russia, Turkey, Armenia, Israel.","no","no","Bilyana Stoykova"
"Merodon moenium",1822,"probably from southern Sweden south to the Mediterranean and N.Africa; from France through most of central and southern Europe to Turkey and European parts of Russia. But occurrence of this taxon in various parts of Europe still requires confirmation, due to confusion with M. avidus and M. ibericus. Whether M. moenium or the Iberian M. ibericus, or both taxa, are present in the Pyrenees and western France is uncertain, because genetics data are not available for populations from those parts of Europe and there are no morphological features by which these two taxa may be separated. The presence of M. moenium in the Iberian peninsula has not been confirmed.","yes","no","Bilyana Stoykova"
"Merodon nisi",2017,"the island of Rhodes.","no","yes","Bilyana Stoykova"
"Merodon obscuritarsis",1909,"Spain including the Canary Isles; France (Pyrenees) (if, as suggested by Marcos-Garcia et al, 2007, M.tricinctus proves to be the same species as M.obscuritarsis, then the range of M.obscuritarsis is much wider (see under M.tricinctus: from central France (Massif Central) south to the Mediterranean (including Sardinia, Sicily) and N Africa; from Spain eastwards through southern Europe to Greece, Bulgaria, Ukraine (Crimea), Turkey and the Caucasus; also in Israel; in Switzerland and Austria in central Europe).","no","no","Bilyana Stoykova"
"Merodon pruni",1790,"southern France (extinct?), Italy, Austria, former Yugoslavia, Greece, Malta, Cyprus, Crete, Turkey, N Africa, Arabia.","no","no","Bilyana Stoykova"
"Merodon pudicus",,,,,"Bilyana Stoykova"
"Merodon ruficornis",1822,"requires reappraisal, due to recent descriptions of closely similar species, but supposedly known from Belgium south to the Mediterranean and N Africa and eastwards through central and southern Europe to the Caucasus. Vuji et al (2012) confirm the occurrence of M.ruficornis in France, Germany, Switzerland, Slovakia, Austria, Hungary, Italy, Serbia, Montenegro, Croatia, Bosnia-Herzegovina, Roumania and the Ukraine.","yes","no","Bilyana Stoykova"
"Merodon rufus",1838,"from the Netherlands south to the Pyrenees, the Mediterranean and N Africa; through central and southern Europe into European parts of Russia and on to Kazakhstan.","yes","no","Bilyana Stoykova"
"Merodon setosus",,,,,"Bilyana Stoykova"
"Merodon velox",1869,"parts of the former Yugoslavia, Greece, Turkey.","no","unclear","Bilyana Stoykova"
"Mesembrius peregrinus",1846,"from southern Germany south to the Mediterranean; through parts of central Europe (Austria, Hungary) and southern Europe (Italy, former Yugoslavia, Bulgaria, Roumania) to Israel; from the Ukraine and the Caucasus eastwards through southern parts of the Palaearctic to the Pacific and northern China.","yes","no","Bilyana Stoykova"
"Microdon analis",1842,"requires confirmation, due to confusion with M.major, but probably from Scandinavia south to the Mediterranean and northern Africa; from Ireland eastwards through most of Europe into Russia and on to the Pacific coast; Mongolia. Based on larval host information the presence of M.analis can be confirmed from Ireland, Great Britain, France, Germany, Austria and Spain.","yes","no","Bilyana Stoykova"
"Microdon devius",1761,"from Fennoscandia south to Spain; from Britain (southern England) eastwards through central and southern Europe (the former Yugoslavia, Turkey) into European parts of Russia and on as far as central Siberia.","yes","no","Bilyana Stoykova"
"Microdon major",1912,"due to confusion with M.analis, the range of this species is at present uncertain. It can be confirmed from France and Germany. Given that the open country Formica rufa group ant species have become much less frequent during the 20th century, because of intensification of farming, it would be expected that M.major is itself becoming a threatened species.","yes","yes","Bilyana Stoykova"
"Microdon mutabilis",1758,"supposedly occurring from Fennoscandia south to Iberia and the Mediterranean; from Ireland east through most of Europe, into European parts of Russia; through Siberia to the Pacific coast. But existing range data for this taxon must now be regarded as unreliable, since they are based almost exclusively on specimens collected as adults that were determined prior to description of M.myrmicae. The only populations of Microdon mutabilis sensu Schönrogge et al (2002a, b) studied by those authors were from Britain and Ireland. The presence of the species has subsequently been confirmed in Sweden (Bartsch et al, 2009b). Beuker (2004) and Reemer et al (2009) no longer regard M.mutabilis as present in the Netherlands. Bonelli et al (2011) were unable to confirm the presence of M.mutabilis sensu Schönrogge et al (2002a, b) from anywhere in central Europe, where its known host ant, Formica lemani is largely subalpine, implying that M.mutabilis would be likewise subalpine there. However, it has since been established (Van de Meutter, 2015) that a lowland, dry grassland ant species, F. cunicularia, can act as host for M. mutabilis larvae. By contrast, M.myrmicae occurs in wetlands in the montane zone and at lower altitudes in central Europe. On this basis, the adults of M.mutabilis that can be found in well-drained subalpine grassland in Switzerland presumably belong to M.mutabilis sensu Schönrogge et al (2002a, b), highlighting the need for better information about the high-altitude populations of M.mutabilis in the Alps.","yes","no","Bilyana Stoykova"
"Microdon myrmicae",2002,"uncertain, due to confusion with M.mutabilis. At present, the presence of this species is confirmed from France, Germany, Great Britain, Hungary, Ireland, Italy, the Netherlands, Norway, Poland, Portugal, Roumania, parts of European Russia (Karelia), Slovakia, Switzerland and the Ukraine. Confirmation of the presence of this species is largely dependent upon availability of determined larval or puparial material, although the habitat in which the adult insect is found can also be diagnostic.","yes","no","Bilyana Stoykova"
"Milesia crabroniformis",1775,"from northern France (Brittany) south to central Spain and round the Mediterranean, including islands, to the former Yugoslavia, Greece and Turkey; also in N Africa. There are some records from central Europe (Switzerland). This species is not known from Russia. It is now very localised in parts of its range and apparently retreating at the northern edge of its range, though there are indications that recently it may have become established in Britain, where sightings of the species in SW England in 2006 and 2007 have been announced (Gainey, 2008;Tremewan, 2008). Given the large size and unmistakable appearance of M.crabroniformis, it would be surprising if those sightings were erroneous. But until a specimen has been more securely recorded it would be premature to cite Britain as part of the range of this species.","no","no","Bilyana Stoykova"
